# groundtruth [0: impostor, 1: genuine], similarity score
1,0.6236934391174456,1
1,0.9640029790398458,1
1,0.9845520983521493,1
0,0.4669013091254022,1
1,0.8219291756195801,1
0,0.3497443155223464,1
1,0.901669635656367,1
0,0.552050100495516,1
0,0.2730458831589794,1
1,0.6174510666356381,1
0,0.33930513844564136,1
1,0.6064299288422342,1
0,0.10956294299703973,1
0,0.03460570027906884,1
0,0.3139313016323809,1
1,0.8588984952662387,1
0,0.04060954677546669,1
0,0.28784955751061303,1
0,0.30489530017399136,1
1,0.5687990256873204,1
0,0.07631682843825494,1
1,0.9881259639365836,1
0,0.23144644592122088,1
0,0.1983179167352761,1
0,0.34157150593895425,1
1,0.8243529210204068,1
1,0.7082273974090268,1
0,0.26762481023029183,1
0,0.04321204270520085,1
0,0.2444507927350461,1
0,0.1399057721040058,1
1,0.8000503132335735,1
1,0.7954525243639311,1
1,0.7602272600754426,1
0,0.3232847735380676,1
0,0.16133491861235327,1
1,0.6996705936114698,1
0,0.05086942114309534,1
1,0.6745652929546306,1
1,0.7815381625866975,1
0,0.10571246359300279,1
1,0.6426331734155993,1
0,0.043112654196967304,1
0,0.11218244083985829,1
1,0.5299876918966664,1
0,0.24161330582171947,1
1,0.6097042023200306,1
0,0.47061751815116315,1
1,0.6473095193975996,1
0,0.12939135118431555,1
1,0.7596232669790695,1
0,0.2628979031208978,1
0,0.3504478170231704,1
1,0.7875250908448913,1
0,0.4307786543943729,1
0,0.3716842837492963,1
0,0.4779704360470063,1
1,0.6441431321513681,1
0,0.026651490191538896,1
0,0.34599966206816424,1
1,0.5231431082034157,1
0,0.3064312909278373,1
0,0.4611645514666175,1
0,0.422843754744353,1
0,0.4762249063334578,1
0,0.004680286648167553,1
1,0.9884618812886846,1
1,0.8602870894307938,1
0,0.1391838674701572,1
0,0.08431111012117143,1
0,0.04792778498730976,1
0,0.04606015341613634,1
1,0.8117218021037222,1
0,0.5229432587164601,1
1,0.7709424911083231,1
1,0.8034138100356006,1
1,0.5034049889965747,1
0,0.25236312692890517,1
1,0.7027477412573705,1
0,0.4983501341026606,1
0,0.3362062134996796,1
0,0.30581002699129234,1
0,0.027781337709714693,1
0,0.3525551356114289,1
0,0.13172004373373936,1
0,0.12858877603028473,1
1,0.8062564130645832,1
0,0.22770606697752072,1
1,0.915779764808389,1
1,0.9597255139114276,1
0,0.12703454464080632,1
1,0.9399890268509511,1
1,0.8353632836416259,1
0,0.35726821624872973,1
1,0.7381014726862345,1
1,0.6556793316188768,1
1,0.9593036402254006,1
1,0.19945474650665806,1
0,0.4025180143735525,1
0,0.8225399759088488,1
0,0.02143757896340337,1
1,0.8760707461414459,1
0,0.05555484156477675,1
1,0.9353519063942803,1
0,0.4099878042059397,1
1,0.7158299291873651,1
1,0.886971537495752,1
1,0.9883980829588414,1
0,0.8711244622835576,1
1,0.7403531996347351,1
1,0.8515182183373412,1
0,0.635691647371259,1
0,0.045893279996310765,1
0,0.40379959098881746,1
1,0.5214452810681759,1
1,0.881176006747845,1
0,0.448440213865376,1
1,0.556111696050265,1
0,0.10128319352960802,1
0,0.15443832775920296,1
0,0.30311240674691076,1
1,0.5931851699399089,1
1,0.8761956153556462,1
1,0.9888752861440968,1
1,0.5894018682568052,1
1,0.8513615268377205,1
0,0.47952454060529626,1
1,0.7979542641455417,1
1,0.887661831147021,1
0,0.4373302685648589,1
0,0.41752774038762364,1
1,0.5373985320562138,1
1,0.7056781560358981,1
1,0.8312518786187744,1
0,0.24243659524546612,1
1,0.6001516552702815,1
0,0.03542670653863911,1
1,0.809129214772842,1
1,0.8511289467120082,1
1,0.7343972294901697,1
0,0.20857446507444977,1
0,0.1065327633901354,1
0,0.4457128653455532,1
1,0.9466999947006398,1
1,0.912120415526227,1
0,0.14064288887952292,1
1,0.8898003759186928,1
0,0.2543360289772757,1
0,0.3765193856315503,1
1,0.7374076525971969,1
0,0.3650017156082379,1
1,0.6957665443866837,1
0,0.49933716352530044,1
1,0.7883105343020027,1
0,0.14512890914234544,1
1,0.9209537985545952,1
0,0.27075594008731674,1
0,0.009107778878666983,1
1,0.9012990866664029,1
1,0.6995618239616662,1
1,0.5451538257720614,1
1,0.6304473154254151,1
1,0.9906268047057333,1
1,0.805162840547263,1
0,0.27868165328928407,1
0,0.40762643499661644,1
1,0.9758079469779046,1
1,0.2029341461142644,1
0,0.05636251464293063,1
0,0.31463102725162895,1
0,0.21685699978396955,1
1,0.7153172621372379,1
1,0.7294032750243663,1
0,0.40489214555694264,1
1,0.8661379227394588,1
1,0.9788034445347983,1
1,0.8039006027480582,1
0,0.38491545791209925,1
0,0.3431747893113033,1
1,0.8731408647574329,1
0,0.29107133506930993,1
0,0.1793802521969291,1
0,0.12108566544380117,1
0,0.25040722612320687,1
1,0.739122588110162,1
1,0.8203855964281125,1
0,0.47455737528582165,1
0,0.2683034327956241,1
1,0.6571979517809003,1
1,0.9077864581097137,1
0,0.3178572295345994,1
1,0.6395523710012911,1
1,0.7714731485897419,1
0,0.23053832144671016,1
1,0.863771111243871,1
1,0.5813360742558396,1
1,0.8773924998953653,1
1,0.6875715563248911,1
1,0.7433556618887243,1
0,0.21769542445955714,1
1,0.7351003249945142,1
1,0.670478362206871,1
1,0.8948032557595148,1
0,0.3668111345446734,1
1,0.7909599812199147,1
0,0.000325302105916192,1
0,0.3887289475637229,1
1,0.798514714691097,1
1,0.6076511843077531,1
1,0.6124134662254975,1
1,0.9391400771813092,1
1,0.8416038361969804,1
0,0.6257647403109671,1
1,0.5156833060515352,1
0,0.017023771641215713,1
1,0.8799339708164058,1
1,0.5493933818344207,1
0,0.08408719221754912,1
0,0.45675746713111265,1
0,0.3323090803917319,1
1,0.9338374717434637,1
0,0.34486019320850114,1
0,0.12044161069452453,1
1,0.7417909276705307,1
0,0.12925326265916015,1
0,0.2807550308266593,1
0,0.22856263376150365,1
0,0.21905746975476958,1
0,0.31743549444318475,1
0,0.33050677609936396,1
0,0.2357033745047239,1
1,0.5108976061335838,1
0,0.24778578689277087,1
1,0.6912957999301099,1
1,0.8509533980826955,1
0,0.15556249334430117,1
1,0.7800740421343116,1
1,0.9895241933586719,1
0,0.3236393876407734,1
1,0.8445971600127637,1
0,0.49590970603266105,1
1,0.8710951214148317,1
1,0.5606427348801153,1
1,0.6504416751110866,1
1,0.7804648601379468,1
1,0.5084940090624802,1
1,0.993146152232677,1
1,0.8298473148235905,1
1,0.6234626591978898,1
1,0.6231414617146543,1
0,0.38155509871091975,1
1,0.629826520583978,1
0,0.1619996374135637,1
0,0.1918548654926081,1
1,0.7504389948211255,1
0,0.18374269696012868,1
0,0.07130231311176782,1
1,0.7640152771339659,1
0,0.25685977833285534,1
0,0.41545537489340945,1
1,0.5500171854879746,1
0,0.21339244412660985,1
1,0.7138372933747467,1
0,0.19942300613915886,1
1,0.877418042507199,1
0,0.36732257172237714,1
0,0.005149301792492511,1
1,0.9176255506310904,1
0,0.3456352557962391,1
1,0.9603242858709568,1
1,0.444962319082004,1
0,0.43681281440415065,1
1,0.5922540473383111,1
1,0.947372809861384,1
1,0.45409515380778454,1
1,0.7005896575717129,1
0,0.44185942768137243,1
0,0.29039062801190674,1
1,0.7719851596404494,1
1,0.8402049848817956,1
0,0.18664258325688943,1
1,0.5747608195816795,1
1,0.9364115108794463,1
1,0.02974521032011823,1
1,0.6287470668883459,1
1,0.8641385095167561,1
1,0.7441375129846888,1
1,0.9708832481675617,1
1,0.7847545231010807,1
1,0.6518394024818482,1
1,0.6506616018927524,1
1,0.8911685493549449,1
0,0.47659747892988513,1
1,0.8067541746841255,1
0,0.4373374477249168,1
0,0.3661821640684695,1
0,0.009723815650630074,1
0,0.3098076107927431,1
0,0.9804930287759107,1
1,0.7962347054540558,1
1,0.5336971496471571,1
1,0.6529264876423834,1
1,0.8225123010381477,1
0,0.22178905479882416,1
1,0.7028179577291394,1
1,0.6564264295479765,1
1,0.999255135256712,1
1,0.5428232640441392,1
0,0.17500008430778669,1
1,0.8599109325491707,1
1,0.6524167311990153,1
1,0.7237361767727767,1
1,0.9559689019989043,1
0,0.04806203663751796,1
1,0.7198183871361785,1
1,0.8921109367916406,1
0,0.4759388111305508,1
1,0.5525478620597339,1
0,0.25376804492557803,1
0,0.1233010570341635,1
1,0.7122291697092639,1
1,0.8523614442444323,1
0,0.35083100343018625,1
1,0.7329550395097065,1
1,0.8518139029943067,1
1,0.6845717090305229,1
1,0.5076608226004478,1
0,0.2613624746247143,1
1,0.8369100511733152,1
0,0.4309464596458499,1
1,0.6252788522026151,1
1,0.9768285574195744,1
0,0.027116552313949605,1
0,0.44658755927689275,1
0,0.3402540921921724,1
1,0.720461994354065,1
1,0.5607801191367205,1
0,0.048367667742029274,1
1,0.8151047584357646,1
1,0.9456020036324115,1
1,0.5360088062187086,1
0,0.32883244076517026,1
0,0.4977125319317629,1
0,0.28960125736983966,1
0,0.301567365500523,1
0,0.1826581215198677,1
1,0.9412305979395776,1
0,0.26575795616786957,1
1,0.5631612155582164,1
1,0.6150732578658983,1
1,0.9253900888339172,1
1,0.8157049794997571,1
0,0.1511768933259252,1
1,0.5990232082060387,1
0,0.20176540188432912,1
1,0.8627706104948067,1
1,0.572226052895392,1
1,0.6140004494514143,1
1,0.8742303392003505,1
1,0.7618835651679312,1
0,0.8534008532345813,1
0,0.0932476006863946,1
0,0.4037085871869628,1
1,0.5868199308202968,1
0,0.2782215592995272,1
0,0.2853159930603233,1
1,0.8700470308260233,1
0,0.21329278072619062,1
